function,size,run_date,time_avg,time_std,mem_avg,mem_std,time_rep_0,time_rep_1,time_rep_2,time_rep_3,time_rep_4,time_rep_5,mem_rep_0,mem_rep_1,mem_rep_2,mem_rep_3,mem_rep_4,mem_rep_5
serial_int_array_sieve,100000,2026-07-02T19:40:00,0.013108253,0.001608628,1101141.333,7515.536832,0.014160395,0.013110161,0.011628866,0.012125969,0.015772581,0.011851549,1105920,1105920,1089536,1097728,1097728,1110016
serial_int_array_sieve,1000000,2026-07-02T19:40:00,0.154576778,0.012731279,763221.3333,8460.661219,0.137045622,0.146667957,0.148510933,0.158118725,0.168236732,0.168880701,753664,757760,765952,761856,778240,761856
serial_int_array_sieve,10000000,2026-07-02T19:40:00,1.550893585,0.112261556,4808704,81055.27611,1.702854633,1.564943314,1.651643515,1.409283161,1.459263563,1.517373323,4722688,4714496,4919296,4870144,4796416,4829184
serial_int_array_sieve,100000000,2026-07-02T19:40:00,21.3585126,4.699193952,45539328,65842.48336,20.95420957,19.57660413,16.72723603,17.40923333,24.28565001,29.19814253,45412352,45576192,45555712,45588480,45527040,45576192
serial_bitarray_sieve,100000,2026-07-02T19:40:00,0.020774404,0.002963668,142677.3333,3083.356785,0.021864653,0.024905443,0.020540953,0.017023563,0.022476912,0.017834902,143360,139264,143360,139264,147456,143360
serial_bitarray_sieve,1000000,2026-07-02T19:40:00,0.265546203,0.0980211,690176,242333.0129,0.167872667,0.215243816,0.271382809,0.444889307,0.286188126,0.207700491,843776,835584,847872,323584,438272,851968
serial_bitarray_sieve,10000000,2026-07-02T19:40:00,2.212662061,0.587810113,6113280,102211.4103,3.14139533,2.500660658,2.243044138,1.627516985,2.213110685,1.55024457,6164480,6168576,6258688,6000640,6004736,6082560
serial_bitarray_sieve,100000000,2026-07-02T19:40:00,12.69236306,3.031292487,45580970.67,81072.52302,18.7790308,11.91393614,10.66715264,11.39676118,12.21594977,11.18134785,45580288,45592576,45727744,45572096,45510656,45502464
serial_bool_sieve,100000,2026-07-02T19:40:00,0.013222853,0.001674626,233472,0,0.01651597,0.013103008,0.012763977,0.012844086,0.011853456,0.012256622,233472,233472,233472,233472,233472,233472
serial_bool_sieve,1000000,2026-07-02T19:40:00,0.147659143,0.020948962,1701205.333,2115.165305,0.143772602,0.133104324,0.144652367,0.14475441,0.131083727,0.188587427,1703936,1699840,1699840,1703936,1699840,1699840
serial_bool_sieve,10000000,2026-07-02T19:40:00,1.559452057,0.022635903,4707669.333,66130.63564,1.544268131,1.530501842,1.583237886,1.564228773,1.587029696,1.547446012,4661248,4747264,4800512,4677632,4739072,4620288
serial_bool_sieve,100000000,2026-07-02T19:40:00,22.5778693,2.064265279,45529770.67,39599.37443,23.26790643,22.82348037,22.26202011,21.19190454,19.92324615,25.99865818,45551616,45486080,45502464,45596672,45514752,45527040
