function,size,run_date,time_avg,time_std,mem_avg,mem_std,,time_rep_0,time_rep_1,time_rep_2,mem_rep_0,mem_rep_1,mem_rep_2
serial_int_array_sieve,100000,2026-07-02T20:20:13,0.013077497,0.001589632,36581376,32510.99211,0%,0.012497663,0.011859179,0.01487565,36569088,36556800,36618240
serial_int_array_sieve,1000000,2026-07-02T20:20:13,0.131251653,0.004096078,43801258.67,176191.4924,0%,0.127457857,0.130702496,0.135594606,43642880,43769856,43991040
serial_int_array_sieve,10000000,2026-07-02T20:20:13,1.416116317,0.049824568,126040746.7,1009598.224,1%,1.473021269,1.380325079,1.395002604,125681664,125259776,127180800
serial_int_array_sieve,100000000,2026-07-02T20:20:13,18.36007134,3.097590106,980206933.3,810452.7123,0%,17.22174716,21.86576676,15.9927001,980819968,979288064,980512768
serial_bitarray_sieve,100000,2026-07-02T20:20:13,0.011153618,0.001862697,35703466.67,20616.08123,0%,0.009785175,0.010400772,0.013274908,35700736,35725312,35684352
serial_bitarray_sieve,1000000,2026-07-02T20:20:13,0.104493618,0.00224651,36220928,235760.2948,1%,0.10418129,0.102419615,0.10687995,36233216,35979264,36450304
serial_bitarray_sieve,10000000,2026-07-02T20:20:13,1.131468852,0.028383486,40737450.67,436667.668,1%,1.145871162,1.149763823,1.098771572,40562688,41234432,40415232
serial_bitarray_sieve,100000000,2026-07-02T20:20:13,12.3394347,0.634957818,93503488,172178.2236,0%,12.94473362,11.67848182,12.39508867,93335552,93679616,93495296
serial_bool_sieve,100000,2026-07-02T20:20:13,0.01333348,0.000822903,35814058.67,95387.85812,0%,0.014185905,0.013270855,0.012543678,35880960,35704832,35856384
serial_bool_sieve,1000000,2026-07-02T20:20:13,0.172335545,0.015852491,36869461.33,275875.0518,1%,0.190170288,0.159848452,0.166987896,36622336,36818944,37167104
serial_bool_sieve,10000000,2026-07-02T20:20:13,1.556126674,0.102642833,47209130.67,1330010.578,3%,1.648617029,1.574066401,1.445696592,48467968,45817856,47341568
serial_bool_sieve,100000000,2026-07-02T20:20:13,19.17905664,0.491243739,178421760,1690010.791,1%,19.72239971,19.04846716,18.76630306,176885760,178147328,180232192
