function,size,run_date,time_avg,time_std,,mem_avg,mem_std,,time_rep_0,time_rep_1,time_rep_2,time_rep_3,time_rep_4,mem_rep_0,mem_rep_1,mem_rep_2,mem_rep_3,mem_rep_4
serial_int_array_sieve_no_return,50000000,2026-07-02T20:47:14,6.935239697,0.118210922,1.7%,436184678.4,53058.61706,0.01%,7.11578393,6.858142138,6.846868515,6.996374846,6.859029055,436252672,436195328,436109312,436203520,436162560
serial_int_array_sieve_no_return,100000000,2026-07-02T20:47:14,16.42571039,1.066537624,6.5%,836188569.6,107147.79,0.01%,14.93793273,17.6383822,15.84220743,16.57494831,17.13508129,836263936,836018176,836210688,836288512,836161536
serial_int_array_sieve_no_return,200000000,2026-07-02T20:47:14,33.93891087,2.453933683,7.2%,1636187341,47714.44447,0.00%,33.45382333,37.84340477,34.48928189,31.49342203,32.41462231,1636237312,1636147200,1636151296,1636159488,1636241408
serial_int_array_sieve_no_return,300000000,2026-07-02T20:47:14,51.21877184,2.397922617,4.7%,2436223795,121762.1689,0.00%,55.1703043,51.0536902,48.84168005,51.11182094,49.91636372,2436370432,2436263936,2436276224,2436055040,2436153344
serial_bitarray_sieve_no_return,50000000,2026-07-02T20:47:14,4.751601315,0.358233423,7.5%,42455040,161363.6862,0.38%,4.627228022,4.70233655,4.511164427,5.378096819,4.539180756,42565632,42557440,42414080,42188800,42549248
serial_bitarray_sieve_no_return,100000000,2026-07-02T20:47:14,10.05151787,0.652938329,6.5%,48710451.2,94002.97691,0.19%,9.723293543,10.82374096,10.67018819,9.684299707,9.356066942,48549888,48787456,48709632,48746496,48758784
serial_bitarray_sieve_no_return,200000000,2026-07-02T20:47:14,21.30808029,0.587444987,2.8%,61186048,69390.64052,0.11%,20.5742712,20.97614741,22.13692498,21.51781845,21.33523941,61157376,61272064,61087744,61190144,61222912
serial_bitarray_sieve_no_return,300000000,2026-07-02T20:47:14,32.48854899,0.817392081,2.5%,73764864,67490.84489,0.09%,31.30861449,33.44905043,32.47336483,32.19968176,33.01203346,73670656,73768960,73854976,73789440,73740288
serial_bool_sieve_no_return,50000000,2026-07-02T20:47:14,8.354029894,0.163385624,2.0%,86323200,107943.3949,0.13%,8.256034613,8.223962307,8.538242579,8.526558876,8.225351095,86245376,86335488,86478848,86355968,86200320
serial_bool_sieve_no_return,100000000,2026-07-02T20:47:14,16.75249915,0.632007047,3.8%,136311603.2,52805.04994,0.04%,16.55125308,16.07841206,16.64575696,17.7954464,16.69162726,136368128,136232960,136335360,136335360,136286208
serial_bool_sieve_no_return,200000000,2026-07-02T20:47:14,34.96445708,2.068628359,5.9%,236213043.2,20965.75921,0.01%,32.33269,36.0302515,33.84059572,37.75403833,34.86470985,236236800,236195840,236216320,236187648,236228608
serial_bool_sieve_no_return,300000000,2026-07-02T20:47:14,50.5540699,1.078783945,2.1%,336267673.6,103928.6855,0.03%,51.99320769,51.31074953,50.2112515,49.92513585,49.33000493,336379904,336375808,336191488,336158720,336232448
