function,N,threads,run_date,time_avg,time_std,,speedup_avg,baseline_time,time_rep_0,time_rep_1,time_rep_2,time_rep_3,time_rep_4
numba_parallel_inner_loop_bool_sieve,50000000,1,2026-07-03T18-25-00,0.2769977,0.008295679,3%,1,0.2769977,0.2790275,0.2905731,0.2722617,0.2732005,0.2699257
numba_parallel_inner_loop_bool_sieve,50000000,2,2026-07-03T18-25-00,0.19592286,0.010331071,5%,1.413810007,0.2769977,0.1948642,0.1848803,0.192852,0.1940395,0.2129783
numba_parallel_inner_loop_bool_sieve,50000000,4,2026-07-03T18-25-00,0.15492538,0.009343291,6%,1.787942686,0.2769977,0.1528805,0.1487927,0.1600503,0.1446943,0.1682091
numba_parallel_inner_loop_bool_sieve,50000000,8,2026-07-03T18-25-00,0.16324366,0.00510375,3%,1.696835883,0.2769977,0.1606798,0.1625098,0.16332,0.1580762,0.1716325
numba_parallel_inner_loop_bool_sieve,100000000,1,2026-07-03T18-25-00,0.62073254,0.003302583,1%,1,0.62073254,0.6225808,0.6207148,0.6252189,0.6173163,0.6178319
numba_parallel_inner_loop_bool_sieve,100000000,2,2026-07-03T18-25-00,0.43603518,0.002885569,1%,1.42358362,0.62073254,0.4347071,0.4399177,0.4379556,0.4349742,0.4326213
numba_parallel_inner_loop_bool_sieve,100000000,4,2026-07-03T18-25-00,0.36782136,0.016748588,5%,1.687592423,0.62073254,0.3779073,0.361849,0.3882174,0.3439841,0.367149
numba_parallel_inner_loop_bool_sieve,100000000,8,2026-07-03T18-25-00,0.37352596,0.009610696,3%,1.661819007,0.62073254,0.3865998,0.3682841,0.3778093,0.373766,0.3611706
numba_parallel_inner_loop_bool_sieve,200000000,1,2026-07-03T18-25-00,1.40152526,0.135547785,10%,1,1.40152526,1.361713,1.3736351,1.332053,1.3014486,1.6387766
numba_parallel_inner_loop_bool_sieve,200000000,2,2026-07-03T18-25-00,1.35394154,0.256428143,19%,1.03514459,1.40152526,1.4962123,1.7362429,1.2015514,1.2133687,1.1223324
numba_parallel_inner_loop_bool_sieve,200000000,4,2026-07-03T18-25-00,0.91645434,0.014902035,2%,1.529290875,1.40152526,0.9275458,0.9193141,0.8924551,0.9133963,0.9295604
numba_parallel_inner_loop_bool_sieve,200000000,8,2026-07-03T18-25-00,0.76978722,0.011015825,1%,1.820665794,1.40152526,0.7685014,0.7859357,0.7730762,0.7655801,0.7558427
numba_parallel_inner_loop_bool_sieve,300000000,1,2026-07-03T18-25-00,2.06435522,0.019594862,1%,1,2.06435522,2.0760296,2.0926346,2.0524555,2.0446404,2.056016
numba_parallel_inner_loop_bool_sieve,300000000,2,2026-07-03T18-25-00,1.45025504,0.007781458,1%,1.423442886,2.06435522,1.4456424,1.458626,1.4473491,1.4414013,1.4582564
numba_parallel_inner_loop_bool_sieve,300000000,4,2026-07-03T18-25-00,1.15664024,0.029672842,3%,1.784785924,2.06435522,1.1546353,1.1987471,1.1700278,1.1216762,1.1381148
numba_parallel_inner_loop_bool_sieve,300000000,8,2026-07-03T18-25-00,1.55747114,0.290470513,19%,1.325453273,2.06435522,1.177042,1.4072978,1.5087349,1.8438077,1.8504733
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,1,1,1,1,1,,,,,,
,,,2,1.413810007,1.42358362,1.03514459,1.423442886,,,,,,
,,,4,1.787942686,1.687592423,1.529290875,1.784785924,,,,,,
,,,8,1.696835883,1.661819007,1.820665794,1.325453273,,,,,,
