function,N,threads,run_date,time_avg,time_std,speedup_avg,baseline_time,time_rep_0,time_rep_1,time_rep_2,time_rep_3,time_rep_4
numba_parallel_inner_loop_bool_sieve,10000000,1,2026-07-03T18-37-07,0.0204717,0.001918945,1,0.0204717,0.0199159,0.019397,0.019392,0.0197741,0.0238795
numba_parallel_inner_loop_bool_sieve,10000000,2,2026-07-03T18-37-07,0.01713648,0.001800225,1.1946269,0.0204717,0.018452,0.0174303,0.0155669,0.0150331,0.0192001
numba_parallel_inner_loop_bool_sieve,10000000,3,2026-07-03T18-37-07,0.01553846,0.000854059,1.31748577,0.0204717,0.0169162,0.0155289,0.0150375,0.0146619,0.0155478
numba_parallel_inner_loop_bool_sieve,10000000,4,2026-07-03T18-37-07,0.01575016,0.000989247,1.299777269,0.0204717,0.0166647,0.0160079,0.016644,0.0149149,0.0145193
numba_parallel_inner_loop_bool_sieve,10000000,5,2026-07-03T18-37-07,0.01624122,0.001477757,1.260477965,0.0204717,0.0147486,0.0174592,0.0180774,0.0159257,0.0149952
numba_parallel_inner_loop_bool_sieve,10000000,6,2026-07-03T18-37-07,0.01705444,0.001174646,1.200373624,0.0204717,0.0167427,0.0165894,0.0191254,0.0166066,0.0162081
numba_parallel_inner_loop_bool_sieve,10000000,7,2026-07-03T18-37-07,0.01732554,0.001383766,1.181590877,0.0204717,0.0170236,0.0163684,0.0170804,0.0164253,0.01973
numba_parallel_inner_loop_bool_sieve,10000000,8,2026-07-03T18-37-07,0.01831912,0.000971991,1.11750455,0.0204717,0.0196963,0.0187591,0.0183202,0.0172761,0.0175439
numba_parallel_inner_loop_bool_sieve,100000000,1,2026-07-03T18-37-07,0.6151777,0.011429598,1,0.6151777,0.6300224,0.6050613,0.6047656,0.6241544,0.6118848
numba_parallel_inner_loop_bool_sieve,100000000,2,2026-07-03T18-37-07,0.43264024,0.010258443,1.421915123,0.6151777,0.4272214,0.4224373,0.4481828,0.4374707,0.427889
numba_parallel_inner_loop_bool_sieve,100000000,3,2026-07-03T18-37-07,0.3691508,0.012237731,1.6664672,0.6151777,0.3858019,0.372302,0.3716851,0.3632728,0.3526922
numba_parallel_inner_loop_bool_sieve,100000000,4,2026-07-03T18-37-07,0.35689194,0.020019018,1.723708582,0.6151777,0.3888347,0.349807,0.3358763,0.3614311,0.3485106
numba_parallel_inner_loop_bool_sieve,100000000,5,2026-07-03T18-37-07,0.35518706,0.011697432,1.731982297,0.6151777,0.3566024,0.3643155,0.3520616,0.3369056,0.3660502
numba_parallel_inner_loop_bool_sieve,100000000,6,2026-07-03T18-37-07,0.36944548,0.006256682,1.665137979,0.6151777,0.3714924,0.375831,0.360518,0.3657057,0.3736803
numba_parallel_inner_loop_bool_sieve,100000000,7,2026-07-03T18-37-07,0.37021102,0.008625518,1.661694728,0.6151777,0.374775,0.373027,0.3638174,0.3803826,0.3590531
numba_parallel_inner_loop_bool_sieve,100000000,8,2026-07-03T18-37-07,0.37501026,0.009902164,1.640428984,0.6151777,0.3882246,0.3702808,0.3699953,0.3823322,0.3642184
numba_parallel_inner_loop_bool_sieve,500000000,1,2026-07-03T18-37-07,3.50933758,0.023155687,1,3.50933758,3.4976731,3.5126266,3.5362197,3.4765899,3.5235786
numba_parallel_inner_loop_bool_sieve,500000000,2,2026-07-03T18-37-07,2.453129,0.014680681,1.430555662,3.50933758,2.4388829,2.4757521,2.4412893,2.4540988,2.4556219
numba_parallel_inner_loop_bool_sieve,500000000,3,2026-07-03T18-37-07,2.05297058,0.027118815,1.709394969,3.50933758,2.0873352,2.0195811,2.0333614,2.0689134,2.0556618
numba_parallel_inner_loop_bool_sieve,500000000,4,2026-07-03T18-37-07,1.97384498,0.069940293,1.777919551,3.50933758,1.9472655,1.9031257,1.9337644,2.005012,2.0800573
numba_parallel_inner_loop_bool_sieve,500000000,5,2026-07-03T18-37-07,1.97017808,0.037649951,1.781228619,3.50933758,1.9875107,1.9397051,1.9633983,2.0259458,1.9343305
numba_parallel_inner_loop_bool_sieve,500000000,6,2026-07-03T18-37-07,2.01057002,0.040435773,1.7454441,3.50933758,1.980121,2.0161339,1.9807924,1.9978927,2.0779101
numba_parallel_inner_loop_bool_sieve,500000000,7,2026-07-03T18-37-07,2.03248258,0.022790683,1.726626154,3.50933758,2.0504215,2.0134226,2.0024317,2.0467134,2.0494237
numba_parallel_inner_loop_bool_sieve,500000000,8,2026-07-03T18-37-07,2.05695388,0.079495357,1.706084718,3.50933758,2.1952903,2.0074041,2.0149897,2.0538987,2.0131866
numba_parallel_inner_loop_bool_sieve,1000000000,1,2026-07-03T18-37-07,8.12631638,0.317605008,1,8.12631638,7.6270575,8.1799448,8.2163751,8.5041399,8.1040646
numba_parallel_inner_loop_bool_sieve,1000000000,2,2026-07-03T18-37-07,6.39943006,0.701471546,1.269850018,8.12631638,7.2785174,6.8578125,6.461133,5.7365241,5.6631633
numba_parallel_inner_loop_bool_sieve,1000000000,3,2026-07-03T18-37-07,4.85244032,0.186607934,1.674686517,8.12631638,4.9935902,5.0546793,4.8685351,4.7551391,4.5902579
numba_parallel_inner_loop_bool_sieve,1000000000,4,2026-07-03T18-37-07,4.89951088,0.473176469,1.658597476,8.12631638,4.4195369,5.4634436,5.3296832,4.7648691,4.5200216
numba_parallel_inner_loop_bool_sieve,1000000000,5,2026-07-03T18-37-07,4.42110044,0.266621436,1.838075495,8.12631638,4.2840972,4.3008683,4.258071,4.370242,4.8922237
numba_parallel_inner_loop_bool_sieve,1000000000,6,2026-07-03T18-37-07,5.68151684,0.514184375,1.430307541,8.12631638,5.8668618,6.2142803,4.8826044,5.500755,5.9430827
numba_parallel_inner_loop_bool_sieve,1000000000,7,2026-07-03T18-37-07,5.71846972,0.170337336,1.421064861,8.12631638,5.5594165,5.7257199,5.8379688,5.5398052,5.9294382
numba_parallel_inner_loop_bool_sieve,1000000000,8,2026-07-03T18-37-07,6.6368825,1.273114416,1.224417696,8.12631638,5.8887927,6.3866372,7.9076294,7.9513865,5.0499667
