machine,function,size,run_date,avg [s],std [s],rel_variance [%],rep_0,rep_1,rep_2,rep_3,rep_4,rep_5,rep_6,rep_7,rep_8,rep_9
PC_AMD_Ryzen_7_7735HS,serial_bitarray_sieve,10000,2026-07-04T18:42:26,0.00068303,1.53E-05,2.233241398,0.0007184,0.0006818,0.0006752,0.0006738,0.0006772,0.0006759,0.0007027,0.0006799,0.0006729,0.0006725
PC_AMD_Ryzen_7_7735HS,serial_bitarray_sieve,50000,2026-07-04T18:42:26,0.00389398,0.000331853,8.522198979,0.0039223,0.0042831,0.0036343,0.0036651,0.0036178,0.0044404,0.0037352,0.0043142,0.0035288,0.0037986
PC_AMD_Ryzen_7_7735HS,serial_bitarray_sieve,100000,2026-07-04T18:42:26,0.00752032,0.000242941,3.230456829,0.0072834,0.0078927,0.0077164,0.0073874,0.007334,0.0079251,0.0074372,0.0075491,0.007275,0.0074029
PC_AMD_Ryzen_7_7735HS,serial_bitarray_sieve,500000,2026-07-04T18:42:26,0.04140296,0.002586347,6.24676759,0.0380296,0.0417367,0.0413364,0.0438175,0.0445826,0.0454127,0.0394814,0.0384511,0.0418082,0.0393734
PC_AMD_Ryzen_7_7735HS,serial_bitarray_sieve,1000000,2026-07-04T18:42:26,0.08079206,0.004319827,5.346846051,0.0839523,0.0854145,0.0853478,0.083004,0.0826937,0.0836963,0.0769153,0.0753855,0.0771527,0.0743585
PC_AMD_Ryzen_7_7735HS,serial_bitarray_sieve,5000000,2026-07-04T18:42:26,0.40006674,0.017018146,4.253826817,0.3911858,0.4078551,0.3902351,0.3987469,0.3789547,0.3973068,0.3925425,0.3972433,0.4036611,0.4429361
PC_AMD_Ryzen_7_7735HS,serial_bitarray_sieve,10000000,2026-07-04T18:42:26,0.80071594,0.009595304,1.198340571,0.796971,0.7934066,0.8214899,0.7895719,0.7953014,0.803935,0.7949564,0.8121008,0.8004034,0.799023
PC_AMD_Ryzen_7_7735HS,serial_bitarray_sieve,50000000,2026-07-04T18:42:26,4.49409575,0.336045744,7.477494098,4.0858578,4.1266126,4.2286239,4.5095257,4.5377776,4.3659638,4.4193905,4.583906,4.9631588,5.1201408
PC_AMD_Ryzen_7_7735HS,serial_bitarray_sieve,100000000,2026-07-04T18:42:26,10.46011105,0.326039137,3.116975865,10.2554199,9.9624677,10.4560361,10.8397099,11.0240365,10.6266325,10.2354256,10.1254608,10.5748227,10.5010988
PC_AMD_Ryzen_7_7735HS,serial_bool_sieve,10000,2026-07-04T18:42:26,0.00197192,0.000357051,18.10678557,0.0017854,0.001677,0.0017055,0.0024623,0.002211,0.0019214,0.0026789,0.0018698,0.0017209,0.001687
