machine,function,segment size [B],size,run_date,avg [s],std [s],rel_variance [%],rep_0,rep_1,rep_2,rep_3,rep_4,,,,,,,,,,,,,
PC_AMD_Ryzen_7_7735HS,numpy_vectorized_inner_loop,-,10000000,2026-07-05T09:21:58,0.03825068,0.002463105,6.439375069,0.038686,0.0396261,0.0413703,0.0361728,0.0353982,,,,,25000,30000,35000,400000,500000,600000,10000000,14000000,20000000
PC_AMD_Ryzen_7_7735HS,numpy_vectorized_inner_loop,-,50000000,2026-07-05T09:21:58,0.30111198,0.024492492,8.13401458,0.3051642,0.338448,0.3039849,0.2798033,0.2781595,,,,,,,,,,,,,
PC_AMD_Ryzen_7_7735HS,numpy_vectorized_inner_loop,-,100000000,2026-07-05T09:21:58,0.65671686,0.012577102,1.915148333,0.6649892,0.6588285,0.6369176,0.6535661,0.6692829,,,10000000,0.03825068,0.11669574,0.09845404,0.08358008,0.02314988,0.02237048,0.02204326,0.02483888,0.0211413,0.02325326
PC_AMD_Ryzen_7_7735HS,numpy_vectorized_inner_loop,-,200000000,2026-07-05T09:21:58,1.38423664,0.03904714,2.820842796,1.3700812,1.3550824,1.3622962,1.3819461,1.4517773,,,50000000,0.30111198,1.13789168,1.05270244,0.79303322,0.15714292,0.1637683,0.16978312,0.16238114,0.18797238,0.22353586
PC_AMD_Ryzen_7_7735HS,serial_segmented,25000,10000000,2026-07-05T09:21:58,0.11669574,0.012541755,10.74739722,0.1378803,0.1174966,0.1095951,0.1062072,0.1122995,,,100000000,0.65671686,2.85110004,2.43511864,2.36828378,0.42281962,0.37058656,0.36966178,0.28477932,0.39432174,0.61897098
PC_AMD_Ryzen_7_7735HS,serial_segmented,30000,10000000,2026-07-05T09:21:58,0.09845404,0.002109693,2.142819714,0.0978824,0.0950037,0.0997365,0.0995285,0.1001191,,,200000000,1.38423664,9.21228424,6.6465205,5.39755154,0.80604162,0.7214032,0.67435644,0.44184208,0.4723215,0.8447362
PC_AMD_Ryzen_7_7735HS,serial_segmented,35000,10000000,2026-07-05T09:21:58,0.08358008,0.002446665,2.927330596,0.0876596,0.0814259,0.0835887,0.0832422,0.081984,,,,,,,,,,,,,
PC_AMD_Ryzen_7_7735HS,serial_segmented,400000,10000000,2026-07-05T09:21:58,0.02314988,0.000981435,4.239481748,0.0241162,0.0239797,0.0233261,0.0218071,0.0225203,,,,,,,,,,,,,
PC_AMD_Ryzen_7_7735HS,serial_segmented,500000,10000000,2026-07-05T09:21:58,0.02237048,0.000993121,4.439425165,0.0241099,0.0222459,0.021971,0.0218172,0.0217084,,,,,25000,30000,35000,400000,500000,600000,10000000,14000000,20000000
PC_AMD_Ryzen_7_7735HS,serial_segmented,600000,10000000,2026-07-05T09:21:58,0.02204326,0.00048049,2.179759065,0.0228257,0.0221649,0.0216234,0.0217627,0.0218396,,,,,,,,,,,,,
PC_AMD_Ryzen_7_7735HS,serial_segmented,10000000,10000000,2026-07-05T09:21:58,0.02483888,0.002429612,9.781486865,0.0283519,0.0261429,0.0243043,0.0229372,0.0224581,,,10000000,,0.327781288,1.185281376,1.177960586,3.610389341,1.034840558,1.014844447,0.887449836,1.174898422,0.909175746
PC_AMD_Ryzen_7_7735HS,serial_segmented,14000000,10000000,2026-07-05T09:21:58,0.0211413,0.001204687,5.698262157,0.021239,0.0214573,0.0229014,0.0203972,0.0197116,,,50000000,,0.26462271,1.08092433,1.327438011,5.046573018,0.959544185,0.96457351,1.045583988,0.863856381,0.840904811
PC_AMD_Ryzen_7_7735HS,serial_segmented,20000000,10000000,2026-07-05T09:21:58,0.02325326,0.00304076,13.07670271,0.0273131,0.0244191,0.0238394,0.0213249,0.0193698,,,100000000,,0.230338063,1.170825927,1.028220799,5.601168129,1.14094699,1.002501692,1.298063989,0.722200404,0.637060141
PC_AMD_Ryzen_7_7735HS,serial_segmented,25000,50000000,2026-07-05T09:21:58,1.13789168,0.169695387,14.91314068,1.0663502,1.1184382,1.4351231,1.0409468,1.0286001,,,200000000,,0.150259871,1.386031118,1.231395467,6.696368284,1.117324708,1.06976542,1.526238605,0.935468913,0.559134911
PC_AMD_Ryzen_7_7735HS,serial_segmented,30000,50000000,2026-07-05T09:21:58,1.05270244,0.182639831,17.34961603,1.3231776,1.0354633,1.1286815,0.8904539,0.8857359,,,,,,,,,,,,,
PC_AMD_Ryzen_7_7735HS,serial_segmented,35000,50000000,2026-07-05T09:21:58,0.79303322,0.037259068,4.698298523,0.8544661,0.7956689,0.7876173,0.7603447,0.7670691,,,,,,,,,,,,,
PC_AMD_Ryzen_7_7735HS,serial_segmented,400000,50000000,2026-07-05T09:21:58,0.15714292,0.009270831,5.899617206,0.1554354,0.1641341,0.1421133,0.1650671,0.1589647,,,,,,,,,,,,,
PC_AMD_Ryzen_7_7735HS,serial_segmented,500000,50000000,2026-07-05T09:21:58,0.1637683,0.019468839,11.88803867,0.1950516,0.1592687,0.1605239,0.1412824,0.1627149,,,,,,,,,,,,,
PC_AMD_Ryzen_7_7735HS,serial_segmented,600000,50000000,2026-07-05T09:21:58,0.16978312,0.003013084,1.774666149,0.1672915,0.1744767,0.1677257,0.1683264,0.1710953,,,,,,,,,,,,,
PC_AMD_Ryzen_7_7735HS,serial_segmented,10000000,50000000,2026-07-05T09:21:58,0.16238114,0.018669538,11.4973559,0.1528578,0.181483,0.1769813,0.1650085,0.1355751,,,,,,,,,,,,,
PC_AMD_Ryzen_7_7735HS,serial_segmented,14000000,50000000,2026-07-05T09:21:58,0.18797238,0.031195033,16.59554073,0.2246873,0.1907639,0.2114522,0.155529,0.1574295,,,,,,,,,,,,,
PC_AMD_Ryzen_7_7735HS,serial_segmented,20000000,50000000,2026-07-05T09:21:58,0.22353586,0.040864412,18.28091993,0.2336327,0.2390028,0.2768885,0.1978258,0.1703295,,,,,,,,,,,,,
PC_AMD_Ryzen_7_7735HS,serial_segmented,25000,100000000,2026-07-05T09:21:58,2.85110004,0.076278722,2.67541375,2.8533457,2.7717383,2.9750766,2.8435176,2.811822,,,,,,,,,,,,,
PC_AMD_Ryzen_7_7735HS,serial_segmented,30000,100000000,2026-07-05T09:21:58,2.43511864,0.068550927,2.815095996,2.4362843,2.3939683,2.3805744,2.4128875,2.5518787,,,,,,,,,,,,,
