machine,function,segment size [B],size,run_date,avg [s],std [s],rel_variance [%],rep_0,rep_1,rep_2,rep_3,rep_4,,,,,200000,250000,300000,350000,400000,430000,450000,480000,500000
PC_AMD_Ryzen_7_7735HS,numpy_vectorized_inner_loop,-,10000000,2026-07-05T09:55:33,0.02372404,0.000948723,3.998994049,0.0233496,0.024215,0.0231783,0.0227493,0.025128,,,,,,,,,,,,,
PC_AMD_Ryzen_7_7735HS,numpy_vectorized_inner_loop,-,50000000,2026-07-05T09:55:33,0.29615958,0.014714733,4.968515026,0.3175202,0.2907041,0.2769538,0.2961149,0.2995049,,,10000000,0.02372404,0.0310882,0.02842262,0.03041036,0.02673408,0.02718676,0.025271,0.02371094,0.0249824,0.0274646
PC_AMD_Ryzen_7_7735HS,numpy_vectorized_inner_loop,-,100000000,2026-07-05T09:55:33,0.65663938,0.008927477,1.359570758,0.6585086,0.6507096,0.65441,0.6710846,0.6484841,,,50000000,0.29615958,0.24912312,0.20070466,0.17485288,0.16589896,0.15659614,0.1560329,0.15596942,0.14940842,0.14864828
PC_AMD_Ryzen_7_7735HS,numpy_vectorized_inner_loop,-,200000000,2026-07-05T09:55:33,1.3927059,0.013607775,0.977074561,1.4083344,1.3932874,1.3853079,1.4024869,1.3741129,,,100000000,0.65663938,0.54703206,0.4623846,0.42044982,0.42383192,0.38307048,0.3917572,0.3800365,0.37451648,0.39152794
PC_AMD_Ryzen_7_7735HS,serial_segmented,200000,10000000,2026-07-05T09:55:33,0.0310882,0.002915203,9.377200242,0.0357475,0.0297584,0.0280264,0.0316979,0.0302108,,,200000000,1.3927059,1.41817954,1.33305546,1.41104284,1.2160624,1.22422608,0.97405778,0.9268446,0.83525002,0.89186322
PC_AMD_Ryzen_7_7735HS,serial_segmented,250000,10000000,2026-07-05T09:55:33,0.02842262,0.00127492,4.485583958,0.0304884,0.0284064,0.0279435,0.0282584,0.0270164,,,,,,,,,,,,,
PC_AMD_Ryzen_7_7735HS,serial_segmented,300000,10000000,2026-07-05T09:55:33,0.03041036,0.003052569,10.03792344,0.0277641,0.0328823,0.0343098,0.0295517,0.0275439,,,,,,,,,,,,,
PC_AMD_Ryzen_7_7735HS,serial_segmented,350000,10000000,2026-07-05T09:55:33,0.02673408,0.001341058,5.016285135,0.0260115,0.0273229,0.0258264,0.0256802,0.0288294,,,,,,,,,,,,,
PC_AMD_Ryzen_7_7735HS,serial_segmented,400000,10000000,2026-07-05T09:55:33,0.02718676,0.003103792,11.41655746,0.029358,0.0311351,0.0270532,0.0238088,0.0245787,,,,,,,,,,,,,
PC_AMD_Ryzen_7_7735HS,serial_segmented,430000,10000000,2026-07-05T09:55:33,0.025271,0.001311286,5.188896565,0.02574,0.0273419,0.0247953,0.0243181,0.0241597,,,10000000,,0.763120412,1.093783754,0.934636091,1.137512868,0.983349248,1.075808634,1.065794945,0.949105771,0.90962184
PC_AMD_Ryzen_7_7735HS,serial_segmented,450000,10000000,2026-07-05T09:55:33,0.02371094,0.001511536,6.374847954,0.0248425,0.0254534,0.023918,0.0222988,0.022042,,,50000000,,1.188808088,1.241242331,1.147848752,1.053972129,1.059406445,1.003609752,1.000407003,1.043913188,1.005113682
PC_AMD_Ryzen_7_7735HS,serial_segmented,480000,10000000,2026-07-05T09:55:33,0.0249824,0.003440443,13.77146694,0.0239889,0.031077,0.0238098,0.0227693,0.023267,,,100000000,,1.200367269,1.183067213,1.099737895,0.992020186,1.106407155,0.977826266,1.030840985,1.014739058,0.956551096
PC_AMD_Ryzen_7_7735HS,serial_segmented,500000,10000000,2026-07-05T09:55:33,0.0274646,0.001600911,5.828998378,0.0291934,0.0249096,0.0278105,0.0282047,0.0272048,,,200000000,,0.982037789,1.063856368,0.944730679,1.160337529,0.993331558,1.256831068,1.050939694,1.109661272,0.936522553
PC_AMD_Ryzen_7_7735HS,serial_segmented,200000,50000000,2026-07-05T09:55:33,0.24912312,0.027847388,11.17816277,0.2799725,0.2788669,0.2321291,0.2236978,0.2309493,,,,,,,,,,,,,
PC_AMD_Ryzen_7_7735HS,serial_segmented,250000,50000000,2026-07-05T09:55:33,0.20070466,0.012463491,6.209866096,0.1963753,0.2077932,0.1873349,0.1934139,0.218606,,,,,,,,,,,,,
PC_AMD_Ryzen_7_7735HS,serial_segmented,300000,50000000,2026-07-05T09:55:33,0.17485288,0.007079832,4.049022309,0.1773167,0.1725965,0.1648251,0.1752598,0.1842663,,,,,,,,,,,,,
PC_AMD_Ryzen_7_7735HS,serial_segmented,350000,50000000,2026-07-05T09:55:33,0.16589896,0.006120086,3.689044102,0.1749262,0.1630415,0.1582191,0.1668044,0.1665036,,,,,,,,,,,,,
PC_AMD_Ryzen_7_7735HS,serial_segmented,400000,50000000,2026-07-05T09:55:33,0.15659614,0.006924058,4.421601818,0.1632431,0.1648314,0.1525882,0.1526723,0.1496457,,,,,,,,,,,,,
PC_AMD_Ryzen_7_7735HS,serial_segmented,430000,50000000,2026-07-05T09:55:33,0.1560329,0.007051112,4.518990476,0.1624616,0.1526088,0.1647093,0.1512688,0.149116,,,,,,,,,,,,,
